demand_id,buyer_id,crop,variety,required_quantity_tons,maximum_price_per_quintal,description,demand_date,required_by_date,cluster,district,taluka,village
D0001,B0913,Ragi,Dapoli-2,11.75,3012.04,Bulk Ragi requirement for processing.,2026-07-30,2026-11-01,Konkan,Palghar,Mokhada,Gonde Bk.
D0002,B0713,Groundnut,Not Specified,10.48,5891.93,"Procurement need for good quality Groundnut, open to multiple sellers.",2026-07-09,2026-08-06,Western Maharashtra (Desh),Pune,Pune City,Keshavnagar-Mundwa
D0003,B4598,Mango (Alphonso),Ratna,11.4,20454.27,Looking for fresh Mango (Alphonso) for wholesale procurement.,2026-08-08,2026-08-28,Konkan,Ratnagiri,Rajapur,Kondsar Bk.
D0004,B3463,Coconut,Dwarf Green,11.21,5594.73,Bulk Coconut requirement for processing.,2026-05-13,2026-05-29,Konkan,Sindhudurg,Sawantwadi,Amboli
D0005,B2941,Banana,Not Specified,22.44,4560.6,Sourcing Banana for export-quality grading and packaging.,2026-07-04,2026-07-21,Khandesh,Jalgaon,Chalisgaon,Abhone
D0006,B3101,Gram,Phule Vikram,63.12,6100.45,Requirement raised for Gram to meet upcoming production schedule.,2026-07-18,2026-11-10,Marathwada,Latur,Jalkot,Atnoor
D0007,B0570,Turmeric,Phule Swarupa,24.86,19094.32,"Procurement need for good quality Turmeric, open to multiple sellers.",2026-08-18,2026-09-21,Western Maharashtra (Desh),Sangli,Shirala,Arala
D0008,B2278,Soybean,JS 9560,18.43,5573.19,Looking to procure Soybean for institutional buyers.,2026-06-07,2026-09-27,Marathwada,Nanded,Himayatnagar,Pota
D0009,B0585,Sugarcane,Not Specified,151.01,545.81,Seeking regular Sugarcane supply from nearby farmers.,2026-07-04,2026-09-01,Western Maharashtra (Desh),Kolhapur,Hatkanangale,Rukadi
D0010,B4563,Vari,Local Bhagar landrace,67.49,4818.91,"Procurement need for good quality Vari, open to multiple sellers.",2026-08-14,2026-10-18,Western Maharashtra (Desh),Kolhapur,Karvir,Amashi
D0011,B3287,Bajra,Phule Adishakti,67.22,3506.77,Sourcing Bajra for export-quality grading and packaging.,2026-06-14,2026-09-30,Khandesh,Nashik,Niphad,Kundewadi
D0012,B4090,Groundnut,TAG-24,17.71,6056.69,Sourcing Groundnut for export-quality grading and packaging.,2026-07-16,2026-09-12,Khandesh,Nashik,Baglan,Devthan Di
D0013,B4789,Linseed,Sharda,29.85,6069.52,Seeking regular Linseed supply from nearby farmers.,2026-07-10,2026-08-15,Vidarbha,Gondia,Salekasa,Tirkhedi
D0014,B0386,Mango (Alphonso),Not Specified,9.2,10276.69,Looking to procure Mango (Alphonso) for institutional buyers.,2026-06-29,2026-07-13,Konkan,Raigad,Shrivardhan,Asuf
D0015,B3153,Turmeric,Rajapuri,18.13,18951.54,Looking for fresh Turmeric for wholesale procurement.,2026-07-30,2026-08-16,Western Maharashtra (Desh),Sangli,Miraj,Bamnoli
D0016,B4399,Sugarcane,Not Specified,451.58,402.35,Sourcing Sugarcane in bulk for our processing unit.,2026-06-30,2026-09-21,Western Maharashtra (Desh),Ahilyanagar (Ahmednagar),Kopargaon,Samvatsar
D0017,B0027,Chickoo,Not Specified,30.81,2495.09,Inviting offers for Chickoo from farmers in the region.,2026-08-08,2026-09-19,Konkan,Palghar,Vikramgad,Alonde
D0018,B0872,Linseed,Not Specified,24.15,7117.76,"Standing requirement for Linseed, quantity flexible based on quality.",2026-05-29,2026-08-09,Vidarbha,Gadchiroli,Gadchiroli,Kotgal
D0019,B1324,Vari,Konkan local Vari landrace,50.55,4228.6,Bulk Vari requirement for processing.,2026-08-23,2026-10-26,Konkan,Palghar,Vasai,Agashi
D0020,B1962,Banana,Shrimanti,32.95,1756.85,Need consistent Banana supply for ongoing operations.,2026-08-13,2026-09-26,Khandesh,Jalgaon,Chopda,Adgaon
D0021,B1031,Tur,Phule Rajeshwari,69.19,6094.12,Inviting offers for Tur from farmers in the region.,2026-08-18,2026-11-05,Marathwada,Beed,Majalgaon,Pathrud
D0022,B1736,Cotton,Not Specified,56.27,9444.05,Sourcing Cotton for export-quality grading and packaging.,2026-06-14,2026-10-02,Vidarbha,Washim,Washim,Ansing
D0023,B3060,Cashew,Vengurla-8,8.08,16046.22,Requirement raised for Cashew to meet upcoming production schedule.,2026-05-02,2026-06-16,Konkan,Sindhudurg,Malwan,Kalethar
D0024,B1886,Soybean,Not Specified,8.61,6717.95,Looking for fresh Soybean for wholesale procurement.,2026-06-02,2026-07-01,Vidarbha,Washim,Manora,Poharadevi
D0025,B2707,Maize,DHM-117,26.52,2266.17,Inviting offers for Maize from farmers in the region.,2026-05-19,2026-08-25,Khandesh,Nandurbar,Shahada,Adgaon
D0026,B4721,Coconut,T x D hybrid,30.48,3468.97,Bulk Coconut requirement for processing.,2026-07-28,2026-08-29,Konkan,Sindhudurg,Devgad,Shirgaon
D0027,B3470,Mango (Alphonso),Alphonso (Hapus),26.18,29816.65,Bulk Mango (Alphonso) requirement for processing.,2026-05-08,2026-06-08,Konkan,Sindhudurg,Malwan,Waghavane
D0028,B0896,Mango (Alphonso),Kesar,21.71,9807.27,Seeking regular Mango (Alphonso) supply from nearby farmers.,2026-06-09,2026-07-04,Konkan,Raigad,Murud,Adad
D0029,B0618,Field Beans,Konkan Val landrace,6.17,5388.43,Looking for fresh Field Beans for wholesale procurement.,2026-08-25,2026-09-19,Konkan,Raigad,Murud,Agardande
D0030,B1363,Coconut,T x D hybrid,11.16,4250.27,Looking for fresh Coconut for wholesale procurement.,2026-05-24,2026-06-03,Konkan,Sindhudurg,Malwan,Devli
D0031,B3199,Sunflower,Phule Raviraj,28.95,7264.65,Sourcing Sunflower for export-quality grading and packaging.,2026-08-26,2026-11-30,Vidarbha,Buldhana,Buldhana,Dhad
D0032,B3987,Vari,Local Bhagar landrace,24.08,3345.13,Sourcing Vari for export-quality grading and packaging.,2026-07-14,2026-11-11,Western Maharashtra (Desh),Kolhapur,Karvir,Balinge
D0033,B2570,Soybean,MAUS 71,38.29,7404.82,Inviting offers for Soybean from farmers in the region.,2026-05-22,2026-08-20,Vidarbha,Akola,Murtajapur,Mana
D0034,B0657,Cotton,Not Specified,12.57,7814.17,"Procurement need for good quality Cotton, open to multiple sellers.",2026-06-26,2026-10-01,Marathwada,Parbhani,Parbhani,Aland
D0035,B2017,Mango (Alphonso),Not Specified,5.51,8427.48,Looking to procure Mango (Alphonso) for institutional buyers.,2026-07-19,2026-08-31,Konkan,Raigad,Khalapur,Ajivali
D0036,B2592,Areca Nut,Not Specified,11.03,51434.22,"Procurement need for good quality Areca Nut, open to multiple sellers.",2026-06-07,2026-06-25,Konkan,Ratnagiri,Dapoli,Satamba
D0037,B2458,Wheat,Lokwan,8.63,2916.52,"Standing requirement for Wheat, quantity flexible based on quality.",2026-08-26,2026-09-29,Western Maharashtra (Desh),Satara,Satara,Angapur Vandan
